rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
IH1 CH IH0 Z	1	11	bitches	3.84	bitches (3.8),  witch's (2.7)	bitches, switches, pitches, witches, stitches, riches, glitches, ditches, niches, witch's, itches
EY1 M AH0 N	1	11	damon	3.72	damon (3.7),  shaman (3.2),  lehmann (3.0),  laymen (2.6)	damon, shaman, cayman, raman, lehmann, layman, heyman, daemon, laymen, hayman, zaman
AO1 L IY0	1	11	raleigh	3.59	raleigh (3.6),  wally (3.5),  crawley (3.1),  nepali (3.0),  callie (3.0),  macaulay (2.9)	raleigh, wally, crawley, nepali, hawley, callie, macaulay, pauly, pauli, mccauley, hallie
AH1 G IH0 NG	1	11	hugging	3.48	hugging (3.5)	hugging, bugging, plugging, debugging, tugging, chugging, mugging, slugging, shrugging, drugging, lugging
IH1 L IY0 Z	1	11	achilles	3.47	achilles (3.5),  achilles' (3.5),  billy's (2.8),  chile's (2.6)	achilles, achilles', phillies, lilies, chiles, billy's, antilles, fillies, gillies, chile's, chillies
OW1 T OW0	1	11	moto	3.42	moto (3.4)	moto, kyoto, toto, goto, soto, yamamoto, makoto, miyamoto, matsumoto, desoto, hashimoto
IY1 D AH0	1	11	alameda	3.02	alameda (3.0)	alameda, frida, almeida, aida, yoshida, eda, frieda, nida, merida, ishida, leda
EH1 DH ER0	1	10	together	5.46	together (5.5)	together, get-together, whether, weather, leather, altogether, heather, feather, tether, nether
AH1 DH ER0 Z	1	10	others	5.42	others (5.4),  others' (5.4),  mother's (4.4)	others, others', brothers, brothers', mother's, mothers, other's, brother's, another's, carruthers
AA1 R T IH0 D	1	10	started	5.39	started (5.4)	started, departed, hearted, parted, uncharted, restarted, charted, imparted, carted, darted
AH1 M ER0	1	10	summer	5.23	summer (5.2)	summer, drummer, plumber, bummer, dumber, midsummer, comer, plummer, hummer, sommer
EH1 N ER0	1	10	center	5.19	center (5.2),  tenor (3.4)	center, enter, tenor, jenner, brenner, renner, kenner, tenner, fenner, penner
EY1 Z IH0 NG	1	10	amazing	5.1	amazing (5.1)	amazing, raising, praising, grazing, blazing, gazing, glazing, phasing, phrasing, hazing
UW1 P ER0	1	10	super	5.08	super (5.1),  stupor (2.7)	super, cooper, trooper, hooper, duper, stupor, cowper, pooper, grouper, looper
AH1 V ER0	1	10	cover	5.08	cover (5.1)	cover, discover, recover, lover, undercover, uncover, glover, hover, rediscover, plover
AY1 V IH0 NG	1	10	driving	4.9	driving (4.9)	driving, arriving, surviving, diving, thriving, striving, reviving, depriving, deriving, conniving
AY1 L IY0	1	10	highly	4.89	highly (4.9),  riley (3.9),  o'reilly (3.3),  wylie (2.9),  wily (2.8)	highly, riley, miley, wiley, smiley, o'reilly, reilly, wylie, wily, haile
IY1 N IH0 NG	1	10	meaning	4.87	meaning (4.9)	meaning, cleaning, screening, leaning, intervening, machining, demeaning, greening, convening, weaning
AE1 K T IH0 NG	1	10	acting	4.82	acting (4.8)	acting, attracting, interacting, reacting, distracting, extracting, impacting, enacting, exacting, subtracting
EH1 R IH0 S	1	10	paris	4.82	paris (4.8),  paris' (4.8)	paris, paris', harris, harris', ferris, maris, solaris, faris, parris, farris
IY1 D ER0 Z	1	10	leaders	4.81	leaders (4.8),  leaders' (4.8),  leader's (3.1),  cedars (2.8)	leaders, leaders', readers, readers', breeders, breeders', feeders, leader's, reader's, cedars
IH1 N ER0	1	10	winner	4.8	winner (4.8)	winner, dinner, inner, printer, thinner, beginner, skinner, sinner, spinner, berliner
IH1 S T IH0 NG	1	10	existing	4.75	existing (4.8)	existing, listing, consisting, assisting, resisting, insisting, twisting, enlisting, preexisting, persisting
IH1 S T AH0 N T	1	10	assistant	4.72	assistant (4.7),  consistent (4.5)	assistant, consistent, self-consistent, distant, resistant, persistent, inconsistent, existent, nonexistent, insistent
IH1 ZH AH0 N Z	1	10	decisions	4.72	decisions (4.7),  divisions' (4.1),  division's (2.8)	decisions, provisions, divisions, divisions', visions, revisions, collisions, division's, incisions, envisions
AO1 R T ER0	1	10	quarter	4.72	quarter (4.7),  puerto (4.0),  mortar (3.8)	quarter, reporter, shorter, supporter, puerto, porter, mortar, exporter, transporter, importer
EH1 N S IH0 V	1	10	expensive	4.69	expensive (4.7)	expensive, extensive, offensive, defensive, comprehensive, intensive, inexpensive, apprehensive, pensive, inoffensive
AY1 T ER0	1	10	writer	4.69	writer (4.7),  mitre (2.6)	writer, fighter, ex-fighter, lighter, brighter, tighter, whiter, nighter, mitre, biter
EY1 L ER0	1	10	taylor	4.65	taylor (4.7),  trailer (4.3),  scalar (2.9)	taylor, trailer, sailor, tailor, baylor, mailer, scalar, inhaler, naylor, jailer
ER1 V IH0 NG	1	10	serving	4.62	serving (4.6)	serving, observing, preserving, irving, deserving, curving, conserving, reserving, unnerving, undeserving
AE1 CH IH0 Z	1	10	matches	4.59	matches (4.6)	matches, catches, patches, scratches, batches, attaches, dispatches, hatches, snatches, latches
UW1 S IH0 V	1	10	exclusive	4.56	exclusive (4.6)	exclusive, inclusive, abusive, elusive, intrusive, conclusive, conducive, inconclusive, reclusive, unobtrusive
AE1 N S IH0 Z	1	10	chances	4.51	chances (4.5),  france's (3.4)	chances, advances, finances, dances, france's, enhances, romances, glances, stances, expanses
AA1 K ER0	1	10	soccer	4.48	soccer (4.5),  shakur (2.7)	soccer, locker, rocker, blocker, shocker, crocker, docker, gawker, cocker, shakur
AE1 L AH0 S	1	10	palace	4.45	palace (4.5),  dallas (4.4),  dallas' (4.4),  callous (3.1),  borealis (2.8)	palace, dallas, dallas', alice, malice, callous, borealis, callus, daedalus, pallas
AA1 R L IY0	1	10	charlie	4.43	charlie (4.4),  harley (3.7),  carly (3.4)	charlie, harley, barley, marley, carly, charley, farley, gnarly, parley, darley
EH1 N T ER0 Z	1	10	centers	4.42	centers (4.4),  centers' (4.4),  centres (4.1),  mentors (3.3),  center's (3.2)	centers, centers', centres, enters, presenters, mentors, inventors, center's, renters, dissenters
OW1 L AH0 N	1	10	stolen	4.41	stolen (4.4),  nolan (3.6),  :colon (3.6)	stolen, nolan, :colon, colon, swollen, ;semi-colon, semi-colon, dolan, golan, solon
EY1 G AH0 N	1	10	begun	4.36	begun (4.4),  reagan (4.0),  hagen (3.0)	begun, reagan, megan, pagan, hagen, sagan, hagan, o'hagan, kagan, fagan
IY1 Z IH0 Z	1	10	diseases	4.36	diseases (4.4)	diseases, freezes, pleases, cheeses, eases, breezes, seizes, teases, squeezes, sneezes
AE1 NG K IH0 NG	1	10	banking	4.35	banking (4.3)	banking, ranking, thanking, spanking, flanking, cranking, tanking, nanking, yanking, planking
EH1 P SH AH0 N	1	10	exception	4.35	exception (4.3)	exception, reception, perception, conception, deception, inception, self-deception, interception, contraception, misconception
IH1 K SH AH0 N Z	1	10	restrictions	4.31	restrictions (4.3)	restrictions, predictions, convictions, jurisdictions, contradictions, depictions, addictions, fictions, evictions, afflictions
UW1 ER0	1	10	fewer	4.31	fewer (4.3),  who're (2.9),  dewar (2.7)	fewer, newer, viewer, sewer, brewer, reviewer, truer, who're, dewar, skewer
IY1 S AH0	1	10	lisa	4.29	lisa (4.3)	lisa, teresa, theresa, isa, pisa, elisa, larissa, alisa, elissa, risa
AA1 B IY0	1	10	bobby	4.22	bobby (4.2),  robbie (3.8),  dhabi (3.4)	bobby, lobby, hobby, robbie, dhabi, robby, bobbi, bobbie, nabi, snobby
UW1 ER0 Z	1	10	viewers	4.22	viewers (4.2),  viewers' (4.2),  viewer's (2.6)	viewers, viewers', brewers, brewers', reviewers, sewers, skewers, doers, viewer's, pursuers
AH1 K T IH0 V	1	10	productive	4.22	productive (4.2)	productive, destructive, reproductive, constructive, seductive, unproductive, conductive, instructive, obstructive, reconstructive
AA1 T IH0 D	1	10	spotted	4.19	spotted (4.2),  carotid (2.9)	spotted, dotted, plotted, allotted, slotted, potted, carotid, knotted, rotted, trotted
EH1 N SH AH0 N Z	1	10	mentions	4.09	mentions (4.1)	mentions, dimensions, extensions, pensions, conventions, inventions, suspensions, attentions, pretensions, detentions
EH1 S AH0 Z	1	10	dresses	4.05	dresses (4.0)	dresses, successes, stresses, expresses, possesses, presses, progresses, guesses, compresses, depresses
AY1 Z ER0	1	10	advisor	4.01	advisor (4.0),  adviser (3.9)	advisor, adviser, kaiser, wiser, pfizer, visor, riser, geyser, miser, keyser
AH1 S T ER0	1	10	cluster	3.99	cluster (4.0),  lustre (3.0)	cluster, buster, muster, custer, lustre, luster, duster, thruster, adjuster, bluster
IY1 K OW0	1	10	rico	3.97	rico (4.0),  ricoh (2.6)	rico, eco, puerto-rico, nico, pico, federico, niko, enrico, fico, ricoh
EY1 T AH0 N	1	10	satan	3.93	satan (3.9),  clayton (3.7),  straighten (3.3)	satan, clayton, peyton, dayton, straighten, leighton, payton, layton, creighton, drayton
IH1 L ER0 Z	1	10	killers	3.91	killers (3.9),  pillars (3.6),  miller's (3.3),  distillers' (2.7)	killers, pillars, miller's, fillers, millers, thrillers, killer's, distillers, distillers', drillers
EH1 N D AH0 N T S	1	10	defendants	3.85	defendants (3.9),  defendants' (3.9),  independents (3.4),  defendant's (3.0)	defendants, defendants', descendants, independents, attendants, attendants', defendant's, dependents, superintendents, descendents
IY1 N AH0 S	1	10	venus	3.81	venus (3.8),  salinas (2.9),  salinas' (2.9),  enos (2.6)	venus, genus, intravenous, venous, salinas, salinas', minas, cardenas, enos, dominus
EH1 S AH0 N T	1	10	adolescent	3.58	adolescent (3.6),  incessant (3.0)	adolescent, crescent, fluorescent, incessant, incandescent, antidepressant, iridescent, convalescent, depressant, effervescent
IH1 M ER0	1	10	swimmer	3.49	swimmer (3.5),  timur (2.5)	swimmer, simmer, zimmer, glimmer, shimmer, slimmer, trimmer, dimmer, rimmer, timur
OW1 K IY0	1	10	karaoke	3.43	karaoke (3.4),  smoky (3.3),  smokey (3.3),  aoki (2.9)	karaoke, smoky, smokey, aoki, loci, okey, hokey, oki, pokey, gnocchi
EH1 T AH0	1	10	loretta	3.27	loretta (3.3)	loretta, vendetta, henrietta, marietta, rosetta, mehta, betta, etta, beretta, jetta
IH1 S T ER0	1	9	mr	5.69	mr (5.7),  mr. (5.7),  sister (5.0),  sr (4.0),  transistor (3.2)	mr, mr., sister, sr, mister, transistor, lister, twister, blister
UW1 D IH0 NG	1	9	including	5.52	including (5.5)	including, excluding, concluding, brooding, protruding, alluding, colluding, feuding, intruding
AA1 R T IY0	1	9	party	5.49	party (5.5),  artie (3.1),  parti (2.8)	party, marty, hearty, artie, arty, moriarty, parti, marti, mccarty
AY1 T AH0 D	1	9	united	5.47	united (5.5)	united, excited, invited, cited, delighted, sighted, indicted, lighted, recited
EY1 K AH0 N	1	9	taken	5.33	taken (5.3),  bacon (4.2),  jamaican (3.6)	taken, bacon, mistaken, shaken, jamaican, awaken, forsaken, macon, retaken
AH1 K IH0 NG	1	9	fucking	5.33	fucking (5.3)	fucking, sucking, trucking, ducking, tucking, plucking, bucking, chucking, mucking
IH1 NG K IH0 NG	1	9	thinking	5.24	thinking (5.2)	thinking, drinking, linking, sinking, shrinking, blinking, rethinking, stinking, winking
IH1 SH AH0 L	1	9	official	5.14	official (5.1)	official, initial, artificial, judicial, beneficial, unofficial, superficial, sacrificial, prejudicial
AA1 M IH0 K	1	9	economic	5.1	economic (5.1)	economic, islamic, comic, atomic, socioeconomic, macroeconomic, autonomic, ergonomic, subatomic
IY1 G AH0 L	1	9	legal	5.08	legal (5.1),  eagle (4.1),  siegel (3.1)	legal, illegal, eagle, regal, siegel, beagle, spiegel, segal, paralegal
IH1 V ER0	1	9	river	5.03	river (5.0),  ivar (2.6)	river, deliver, liver, giver, shiver, sliver, quiver, upriver, ivar
AE1 N T IY0	1	9	anti	5.01	anti (5.0),  ante (3.3),  panty (3.0)	anti, ante, vigilante, auntie, panty, santi, shanti, shanty, chianti
IH1 N IH0 NG	1	9	beginning	5.0	beginning (5.0)	beginning, winning, printing, spinning, inning, grinning, thinning, pinning, sinning
ER1 N IH0 NG	1	9	learning	4.92	learning (4.9)	learning, turning, burning, returning, concerning, earning, yearning, churning, discerning
OW1 L D IH0 NG	1	9	holding	4.89	holding (4.9)	holding, folding, withholding, unfolding, molding, upholding, moulding, scolding, golding
UW1 S IH0 Z	1	9	uses	4.88	uses (4.9)	uses, produces, reduces, excuses, introduces, abuses, juices, induces, reproduces
AY1 S IH0 Z	1	9	prices	4.88	prices (4.9),  price's (2.7)	prices, devices, slices, spices, vices, price's, device's, ices, rice's
AY1 AH0 L	1	9	trial	4.87	trial (4.9),  aisle (3.7)	trial, denial, dial, aisle, vial, pretrial, retrial, mistrial, lisle
IH1 S T AH0 N S	1	9	distance	4.85	distance (4.8)	distance, assistance, existence, resistance, persistence, insistence, self-subsistence, subsistence, coexistence
AE1 S AH0 Z	1	9	classes	4.77	classes (4.8),  nasa's (3.3)	classes, passes, glasses, masses, asses, gases, nasa's, grasses, molasses
AE1 S IH0 Z	1	9	classes	4.77	classes (4.8)	classes, passes, glasses, masses, gases, grasses, surpasses, basses, gasses
EH1 N T AH0 D	1	9	presented	4.75	presented (4.8)	presented, represented, invented, rented, augmented, cemented, fermented, resented, contented
AY1 T L IY0	1	9	slightly	4.75	slightly (4.8),  politely (3.5),  whiteley (2.6)	slightly, lightly, tightly, rightly, nightly, politely, brightly, unsightly, whiteley
EY1 ZH AH0 N	1	9	asian	4.69	asian (4.7),  occasion (4.4)	asian, occasion, invasion, equation, malaysian, caucasian, evasion, persuasion, abrasion
IH1 S T AH0 D	1	9	listed	4.69	listed (4.7)	listed, existed, assisted, insisted, twisted, consisted, enlisted, resisted, persisted
OW1 T IH0 D	1	9	noted	4.69	noted (4.7)	noted, voted, quoted, devoted, coated, floated, bloated, demoted, throated
OY1 ER0	1	9	lawyer	4.67	lawyer (4.7)	lawyer, employer, sawyer, destroyer, foyer, boyer, neuer, hoyer, moyer
EY1 ZH AH0	1	9	asia	4.65	asia (4.7)	asia, malaysia, anastasia, euthanasia, eurasia, fantasia, australasia, dysplasia, aphasia
AE1 K T ER0 Z	1	9	factors	4.64	factors (4.6),  factors' (4.6),  actor's (2.9)	factors, factors', actors, actors', contractors', reactors, tractors, detractors, actor's
EY1 N JH ER0	1	9	danger	4.59	danger (4.6)	danger, stranger, ranger, changer, granger, endanger, manger, exchanger, arranger
AO1 R M IH0 NG	1	9	performing	4.56	performing (4.6)	performing, forming, warming, transforming, informing, reforming, storming, conforming, swarming
EH1 D IH0 D	1	9	headed	4.55	headed (4.5)	headed, embedded, shredded, dreaded, threaded, beheaded, wedded, bedded, leaded
AE1 N S IH0 NG	1	9	dancing	4.5	dancing (4.5)	dancing, financing, advancing, enhancing, lansing, glancing, refinancing, prancing, romancing
EY1 T IY0	1	9	m-80	4.48	m-80 (4.5),  katie (4.0),  eighty (3.8),  haiti (3.7),  katy (3.6),  beatty (3.2)	m-80, katie, eighty, haiti, katy, beatty, kuwaiti, weighty, matey
AE1 M IY0	1	9	miami	4.47	miami (4.5),  grammy (3.7),  amie (2.5)	miami, grammy, sammy, tammy, sami, whammy, tami, amie, cammy
AE1 L AH0 N	1	9	alan	4.45	alan (4.5),  allen (4.4),  gallon (3.8),  mpg (3.1)	alan, allen, allan, gallon, fallon, mpg, talon, ballon, callan
AO1 S IH0 Z	1	9	losses	4.45	losses (4.5),  bosses' (3.9),  boss's (2.9)	losses, bosses, bosses', crosses, sauces, boss's, tosses, glosses, mosses
AH1 S AH0 L	1	9	muscle	4.44	muscle (4.4),  russell (4.3),  russel (3.0)	muscle, russell, hustle, russel, bustle, mussel, rustle, tussle, brussel
IH1 N ER0 Z	1	9	winners	4.43	winners (4.4),  winners' (4.4),  winner's (3.1)	winners, winners', printers, dinners, beginners, sinners, winner's, spinners, beginner's
IH1 SH AH0 N T	1	9	efficient	4.42	efficient (4.4)	efficient, sufficient, self-sufficient, insufficient, inefficient, coefficient, deficient, proficient, omniscient
ER1 D IY0	1	9	thirty	4.38	thirty (4.4),  sturdy (3.4),  verde (3.3),  nerdy (3.2),  birdy (2.6),  verdes (2.6)	thirty, sturdy, verde, birdie, nerdy, purdy, birdy, verdes, wordy
EH1 N IH0 NG	1	9	representing	4.36	representing (4.4)	representing, preventing, dissenting, consenting, henning, benning, penning, denning, misrepresenting
AW1 N IH0 NG	1	9	accounting	4.29	accounting (4.3)	accounting, counting, drowning, downing, browning, amounting, crowning, frowning, clowning
EY1 B AH0 L Z	1	9	tables	4.29	tables (4.3),  labels (4.1),  label's (2.5)	tables, labels, enables, cables, stables, fables, gables, disables, label's
AE1 K T IH0 D	1	9	acted	4.28	acted (4.3)	acted, distracted, impacted, extracted, reacted, protracted, redacted, subtracted, compacted
IY1 ZH AH0	1	9	indonesia	4.25	indonesia (4.2)	indonesia, tunisia, anesthesia, amnesia, rhodesia, french-polynesia, polynesia, anaesthesia, micronesia
EY1 K ER0	1	9	baker	4.23	baker (4.2),  acre (3.9)	baker, maker, acre, breaker, shaker, taker, quaker, laker, faker
IY1 T ER0 Z	1	9	meters	4.21	meters (4.2),  peter's (3.5)	meters, peters, peter's, eaters, liters, heaters, cheaters, beaters, repeaters
AH1 S T IH0 D	1	9	trusted	4.2	trusted (4.2)	trusted, adjusted, busted, disgusted, entrusted, dusted, rusted, encrusted, crusted
AE1 CH IH0 NG	1	9	catching	4.2	catching (4.2)	catching, matching, scratching, attaching, hatching, snatching, patching, dispatching, latching
IH1 K T IH0 D	1	9	restricted	4.19	restricted (4.2)	restricted, predicted, addicted, depicted, inflicted, evicted, afflicted, unrestricted, conflicted
AY1 AH0 S	1	9	bias	4.18	bias (4.2),  darius (3.4)	bias, elias, darius, pious, tobias, himalayas, mathias, matthias, pius
AE1 M ER0	1	9	grammar	4.17	grammar (4.2),  hammer (4.2),  glamour (3.5),  amor (3.2)	grammar, hammer, glamour, amor, scammer, jammer, grammer, clamor, hamer
AO1 R IH0 S	1	9	morris	4.15	morris (4.2),  boris' (3.9),  horace (3.5),  dolores (3.3),  florists (2.6)	morris, boris, boris', norris, doris, horace, dolores, clitoris, florists
